Drug,Age,Condition,Date,EaseofUse,Satisfaction,Sex,UsefulCount,Effectiveness
15dm-100gfn-5peh,25-34,Cold Symptoms,8/20/15,3,1,Male,0,5
15dm-100gfn-5peh,25-34,Cold Symptoms,8/20/15,3,1,Male,0,5
15dm-100gfn-5peh,25-34,Cold Symptoms,8/20/15,3,1,Male,0,5
15dm-100gfn-5peh,25-34,Cold Symptoms,8/20/15,3,1,Male,0,5
15dm-100gfn-5peh,25-34,Cold Symptoms,8/20/15,3,1,Male,0,5
15dm-100gfn-5peh,25-34,Cold Symptoms,8/20/15,3,1,Male,0,5
15dm-100gfn-5peh,25-34,Cold Symptoms,8/20/15,3,1,Male,0,5
15dm-100gfn-5peh,25-34,Cold Symptoms,8/20/15,3,1,Male,0,5
15dm-100gfn-5peh,25-34,Cold Symptoms,8/20/15,3,1,Male,0,5
15dm-100gfn-5peh,25-34,Cold Symptoms,8/20/15,3,1,Male,0,5
15dm-100gfn-5peh,25-34,Cold Symptoms,8/20/15,3,1,Male,0,5
15dm-100gfn-5peh,25-34,Cold Symptoms,8/20/15,3,1,Male,0,5
15dm-100gfn-5peh,25-34,Cold Symptoms,8/20/15,3,1,Male,0,5
15dm-100gfn-5peh,25-34,Cold Symptoms,8/20/15,3,1,Male,0,5
15dm-100gfn-5peh,25-34,Cold Symptoms,8/20/15,3,1,Male,0,5
15dm-100gfn-5peh,25-34,Cold Symptoms,8/20/15,3,1,Male,0,5
15dm-100gfn-5peh,25-34,Cold Symptoms,8/20/15,3,1,Male,0,5
15dm-100gfn-5peh,25-34,Cold Symptoms,8/20/15,3,1,Male,0,5
15dm-100gfn-5peh,25-34,Cold Symptoms,8/20/15,3,1,Male,0,5
15dm-100gfn-5peh,25-34,Cold Symptoms,8/20/15,3,1,Male,0,5
15dm-100gfn-5peh,25-34,Cold Symptoms,8/20/15,3,1,Male,0,5
15dm-100gfn-5peh,25-34,Cold Symptoms,8/20/15,3,1,Male,0,5
15dm-100gfn-5peh,25-34,Cold Symptoms,8/20/15,3,1,Male,0,5
15dm-100gfn-5peh,25-34,Cold Symptoms,8/20/15,3,1,Male,0,5
15dm-100gfn-5peh,25-34,Cold Symptoms,8/20/15,3,1,Male,0,5
